nid,nseq,eid,x,y,epsg
122000,1,179913,753.128933504686,113.401406840284,3364
122000,2,178189,753.128933504686,113.401406840284,3364
122000,3,178188,753.128933504686,113.401406840284,3364
122001,1,178192,671.691792426622,200.855653734987,3364
122001,2,178190,671.691792426622,200.855653734987,3364
122001,3,180042,671.691792426622,200.855653734987,3364
122002,1,181798,675.005746668108,191.620698775594,3364
122002,2,178191,675.005746668108,191.620698775594,3364
122002,3,178190,675.005746668108,191.620698775594,3364
122003,1,178194,762.138541693679,99.291733173394,3364
122003,2,181664,762.138541693679,99.291733173394,3364
122004,1,178195,765.140770209342,103.829797054013,3364
122004,2,178194,765.140770209342,103.829797054013,3364
122004,3,178193,765.140770209342,103.829797054013,3364
122005,1,178197,766.154756337487,105.942474031709,3364
122005,2,178195,766.154756337487,105.942474031709,3364
122005,3,181667,766.154756337487,105.942474031709,3364
122006,1,178196,774.690379477259,102.909066685103,3364
122006,2,177090,774.690379477259,102.909066685103,3364
122006,3,178198,774.690379477259,102.909066685103,3364
122006,4,178576,774.690379477259,102.909066685103,3364
122007,1,174763,677.441317867893,103.124121537948,3364
122007,2,178200,677.441317867893,103.124121537948,3364
122007,3,178199,677.441317867893,103.124121537948,3364
122008,1,180757,675.876732813263,103.976610437464,3364
122008,2,178202,675.876732813263,103.976610437464,3364
122009,1,178076,675.944837581244,104.324525577492,3364
122009,2,178202,675.944837581244,104.324525577492,3364
122009,3,178201,675.944837581244,104.324525577492,3364
122010,1,178511,757.961022666106,53.6190535461501,3364
122010,2,178204,757.961022666106,53.6190535461501,3364
122011,1,178205,762.412278028137,59.1917791737024,3364
122011,2,181291,762.412278028137,59.1917791737024,3364
122011,3,178203,762.412278028137,59.1917791737024,3364
122012,1,178509,763.257875322234,53.6514869169023,3364
122012,2,178206,763.257875322234,53.6514869169023,3364
122012,3,178205,763.257875322234,53.6514869169023,3364
122013,1,177582,819.054384536731,74.2524592853024,3364
122013,2,180180,819.054384536731,74.2524592853024,3364
122013,3,178207,819.054384536731,74.2524592853024,3364
122014,1,178209,502.810620084217,112.245527331441,3364
122014,2,178634,502.810620084217,112.245527331441,3364
122015,1,178211,411.710172481133,135.100289695624,3364
122015,2,178215,411.710172481133,135.100289695624,3364
122015,3,178210,411.710172481133,135.100289695624,3364
122016,1,174260,412.917192445013,132.728544989821,3364
122016,2,178213,412.917192445013,132.728544989821,3364
122016,3,178211,412.917192445013,132.728544989821,3364
122017,1,178213,410.52126704327,132.210019309472,3364
122017,2,178212,410.52126704327,132.210019309472,3364
122017,3,178102,410.52126704327,132.210019309472,3364
122018,1,178215,410.4017525625,136.325298655419,3364
122018,2,178214,410.4017525625,136.325298655419,3364
122018,3,180930,410.4017525625,136.325298655419,3364
122019,1,175723,401.812066805143,133.21283784287,3364
122019,2,178216,401.812066805143,133.21283784287,3364
122020,1,177490,777.802301353917,117.93466335056,3364
122020,2,178219,777.802301353917,117.93466335056,3364
122020,3,178217,777.802301353917,117.93466335056,3364
122021,1,178987,781.370591734089,114.199118816062,3364
122021,2,178218,781.370591734089,114.199118816062,3364
122021,3,175501,781.370591734089,114.199118816062,3364
122022,1,178217,777.258960144555,116.880086656264,3364
122022,2,178222,777.258960144555,116.880086656264,3364
122022,3,178220,777.258960144555,116.880086656264,3364
122023,1,178222,775.51946554921,114.075585140779,3364
122023,2,178221,775.51946554921,114.075585140779,3364
122024,1,178306,820.814105635136,70.7939566842381,3364
122024,2,180313,820.814105635136,70.7939566842381,3364
122024,3,178223,820.814105635136,70.7939566842381,3364
122025,1,175705,812.910676954525,82.1304219856965,3364
122025,2,178225,812.910676954525,82.1304219856965,3364
122025,3,178224,812.910676954525,82.1304219856965,3364
122026,1,178226,812.053204119204,83.0137411438094,3364
122026,2,178529,812.053204119204,83.0137411438094,3364
122026,3,182442,812.053204119204,83.0137411438094,3364
122027,1,178227,822.639476840648,79.6220727324568,3364
122027,2,182777,822.639476840648,79.6220727324568,3364
122027,3,178229,822.639476840648,79.6220727324568,3364
122028,1,178228,823.132459153102,79.6182144378139,3364
122028,2,174665,823.132459153102,79.6182144378139,3364
122028,3,180952,823.132459153102,79.6182144378139,3364
122029,1,178230,817.143679022318,91.7561651213777,3364
122029,2,179932,817.143679022318,91.7561651213777,3364
122029,3,178231,817.143679022318,91.7561651213777,3364
122030,1,178231,816.8617695939,93.4399020368363,3364
122030,2,178236,816.8617695939,93.4399020368363,3364
122031,1,178232,820.294195431402,92.7430774512607,3364
122031,2,175609,820.294195431402,92.7430774512607,3364
122031,3,180889,820.294195431402,92.7430774512607,3364
122032,1,178234,816.806848638356,95.6935909281966,3364
122032,2,178233,816.806848638356,95.6935909281966,3364
122032,3,177248,816.806848638356,95.6935909281966,3364
122033,1,178236,816.900966246682,93.620760759548,3364
122033,2,178235,816.900966246682,93.620760759548,3364
122033,3,178233,816.900966246682,93.620760759548,3364
122034,1,178240,813.882169279716,75.5704420083391,3364
122034,2,178237,813.882169279716,75.5704420083391,3364
122034,3,175270,813.882169279716,75.5704420083391,3364
122034,4,178238,813.882169279716,75.5704420083391,3364
122035,1,178241,813.657077641283,76.0660218796004,3364
122035,2,178238,813.657077641283,76.0660218796004,3364
122035,3,182250,813.657077641283,76.0660218796004,3364
122036,1,182783,814.869031760985,76.2157654527397,3364
122036,2,178240,814.869031760985,76.2157654527397,3364
122036,3,178239,814.869031760985,76.2157654527397,3364
