rn,D12,R12,D16,R16
186,2442,9981,1779,11364
187,846,1906,558,2304
188,1524,2962,1126,3458
189,202,310,125,401
190,2274,2422,2020,2806
191,3636,5656,4790,6836
192,1380,5030,1488,7036
193,2854,3564,2902,3992
194,944,634,959,635
195,977,914,1009,830
196,536,447,522,423
198,4275,5601,4479,5553
199,875,1452,837,1133
200,617,1229,659,1049
201,802,1869,890,1716
202,1648,2008,1783,1961
203,1818,1835,1640,1427
204,2844,5104,2856,4330
205,3264,5316,3894,6128
206,932,1271,1171,1418
207,779,2322,1078,3746
208,313,1274,357,2069
209,622,1892,665,2586
210,144,543,172,1096
211,836,342,893,414
212,251,173,310,212
213,471,875,614,1122
214,5442,2970,6801,3810
215,520,790,606,1034
216,1642,2948,1842,3488
217,829,811,755,600
218,548,861,596,802
219,3202,3094,3316,3356
220,2348,3588,1902,3428
223,990,1744,999,1606
224,3436,6362,3852,5400
226,4320,6786,4154,6582
227,178,540,188,508
229,699,578,725,760
230,2762,3954,2322,5008
231,422,790,356,709
232,4638,7098,3990,8355
233,536,1343,657,2461
234,443,1107,0,0
235,2352,6514,1432,7044
236,358,1263,285,1382
237,606,1664,396,2072
238,446,787,344,977
239,630,1860,412,2346
241,1976,5734,1820,6612
242,395,858,229,939
243,551,917,400,1169
244,319,790,182,774
245,640,1330,593,1582
246,353,867,222,1050
247,322,650,254,607
248,554,1426,682,1830
249,293,1304,238,1179
250,806,2890,834,2968
251,1236,1974,1224,1900
253,482,289,557,273
254,676,895,605,998
255,826,1185,612,1033
259,734,1812,700,1621
261,690,1159,485,944
265,1854,4988,1924,5122
267,362,1259,326,1408
268,440,1607,306,1449
269,655,1420,573,1726
270,89,563,67,638
271,152,529,179,638
272,312,935,290,1157
274,354,1101,413,1459
275,204,829,282,1090
277,590,1375,628,1729
279,144,245,155,365
280,396,972,529,1036
281,341,993,342,1026
284,0,0,51,273
285,965,568,858,597
286,2402,2006,2120,1994
287,768,1275,654,1356
288,881,520,819,595
289,574,841,528,972
290,2877,4161,3476,6024
291,604,1796,511,2026
292,1942,4776,1772,5126
293,1153,2830,985,3146
294,845,1109,745,1162
295,418,1226,401,1306
296,676,1401,702,1391
298,738,1393,634,1412
299,3462,4570,3162,4872
300,2246,2120,2020,2390
301,1948,3568,2188,3066
302,431,1232,479,1212
303,479,845,520,766
304,2088,1728,1878,1908
305,5580,1353,4191,1572
306,603,878,492,889
307,291,448,253,485
308,854,1887,802,2122
309,4011,4095,3321,4461
310,732,1428,611,1586
311,755,1213,596,1603
312,472,1798,352,1983
314,274,846,241,986
315,2414,7350,2314,8314
316,3038,5162,2490,5682
317,369,1227,257,1392
319,2868,6794,2378,7442
320,791,1970,707,2172
321,365,1141,299,1252
322,1117,658,1846,675
323,9684,6531,11217,7020
325,1781,717,2103,719
326,3290,2852,3190,3018
327,857,714,1104,669
328,1465,895,1747,790
329,734,1249,759,1374
330,3573,8751,3099,9273
331,3254,4252,2276,3292
332,1456,1280,2430,1553
333,1086,1224,1086,1330
334,2164,1272,2477,1400
335,1893,4836,1392,5511
336,204,653,158,757
337,306,1342,268,1524
338,3519,8310,2901,9429
339,666,1740,692,2116
340,1731,5271,1536,6276
341,614,1890,558,2390
342,3710,1986,3490,2074
343,514,614,374,696
344,3555,6843,2610,6831
345,1536,4794,1407,5214
346,6402,14250,5388,16194
347,794,3338,626,3862
348,368,1095,281,1274
349,1686,2778,1450,3108
350,801,1265,706,1398
351,518,1565,426,1773
352,1229,1745,1107,1971
353,1119,1618,1030,1784
354,320,812,242,982
355,613,1311,496,1541
356,901,862,812,899
357,768,788,0,0
358,0,0,1604,1561
359,1888,1721,4742,4096
360,726,448,0,0
361,857,1033,1814,1982
362,1557,836,890,438
363,414,1296,343,1446
364,241,715,190,809
365,125,319,825,2346
366,1394,3029,1020,2616
368,1983,2277,1448,3306
369,2570,2384,2150,2710
370,530,187,427,206
371,651,651,320,756
372,2600,1734,1976,1970
373,682,776,605,774
374,2796,3105,2442,3573
375,1022,677,1087,663
376,854,1356,646,1382
377,4275,3525,3690,3660
378,1312,2544,966,2960
379,982,3992,676,4294
380,2644,2244,2374,2286
381,2176,5272,1584,7028
382,931,1769,752,1504
383,114,583,36,322
384,2757,4866,3513,6612
385,4191,4500,3468,4866
386,537,621,348,454
387,1068,1548,1285,1770
388,773,2187,700,1990
389,2828,4470,2032,3866
390,3964,3136,3796,3020
391,752,793,616,714
392,1230,427,1139,326
393,3210,4732,2456,3640
394,823,406,933,574
395,1940,5640,1704,5210
396,3394,6882,3884,8372
397,729,1327,1808,3349
400,1031,1260,0,0
402,957,659,962,1073
403,1286,137,1260,139
404,414,289,367,308
405,2374,2912,2368,2842
406,3675,7965,3999,7260
407,318,697,341,596
408,1338,1760,1352,1576
409,386,438,347,396
410,1762,44,1354,47
411,1557,23,1281,30
412,1319,118,1077,133
413,4484,3980,4028,4218
414,413,484,335,518
415,3504,3950,3368,3886
416,844,602,840,609
417,1579,638,1530,698
418,2776,1960,2568,2028
419,595,486,509,426
420,970,562,879,537
421,772,600,683,566
422,814,519,694,500
423,466,366,517,330
424,1031,427,898,410
425,4868,3602,4462,3260
426,518,151,450,246
428,1638,170,1440,190
429,1710,251,1455,246
430,1879,947,1961,895
431,4922,4714,4824,4644
432,4200,1836,3924,1640
433,4328,4244,4716,4168
434,224,623,206,650
435,1740,2884,1570,2982
436,755,1865,797,2216
437,268,606,204,622
438,1003,1867,1045,2152
439,2608,3472,2392,3734
440,667,1262,820,1415
441,873,793,825,851
442,4688,4562,4930,5224
443,4268,4524,4666,4492
444,1084,527,912,474
445,10572,6126,10677,6057
446,1324,472,1244,417
447,1817,196,1683,208
448,1011,599,936,532
449,3892,1362,3558,1402
450,5240,1234,5222,1204
451,4618,1982,4342,1984
452,1793,463,1648,466
454,1504,508,1393,520
455,6918,1924,7060,1834
459,1020,705,687,760
465,1320,337,1115,320
466,1235,332,1051,335
467,777,1367,737,1451
468,675,8,480,19
471,75,147,46,197
472,254,590,169,877
473,794,2170,687,2612
474,1154,2858,850,3220
475,724,1414,610,1654
476,1984,3326,1626,4108
478,79,92,75,113
479,4281,6891,4608,7176
480,780,1088,703,1214
481,1381,1609,1349,1984
482,895,1093,832,1362
483,679,921,742,936
484,84,218,40,288
486,3000,3858,2844,4266
487,186,528,166,577
488,200,242,169,288
