rn,state,cid,tract,pop,white,black,hispanic
399,48,29,181601,3192.0,2692.0,102.0,2496.0
400,48,29,181602,6318.0,5370.0,325.0,5296.0
401,48,29,181703,7362.0,6087.0,397.0,3335.0
402,48,29,181704,6053.0,5206.0,199.0,4223.0
403,48,29,181705,5558.0,4142.0,516.0,3160.0
404,48,29,181711,8416.0,6435.0,421.0,4864.0
405,48,29,181712,3931.0,3051.0,222.0,2152.0
406,48,29,181713,7903.0,5713.0,574.0,4879.0
407,48,29,181715,6237.0,5188.0,357.0,4104.0
408,48,29,181716,7899.0,5246.0,480.0,5773.0
409,48,29,181718,5839.0,5026.0,199.0,2797.0
410,48,29,181720,5098.0,4054.0,393.0,2438.0
411,48,29,181721,3954.0,3266.0,128.0,2626.0
412,48,29,181722,4928.0,3776.0,338.0,2633.0
413,48,29,181723,5181.0,3378.0,716.0,2898.0
414,48,29,181724,5691.0,4740.0,222.0,2632.0
415,48,29,181725,5404.0,3614.0,1010.0,3269.0
416,48,29,181726,10231.0,8262.0,480.0,5901.0
417,48,29,181727,3665.0,3106.0,305.0,2413.0
418,48,29,181728,11197.0,8559.0,955.0,6906.0
419,48,29,181729,5554.0,4232.0,455.0,2857.0
420,48,29,181730,4100.0,3237.0,413.0,2604.0
421,48,29,181731,7510.0,5773.0,209.0,4414.0
422,48,29,181808,1643.0,1402.0,155.0,739.0
423,48,29,181809,6232.0,4686.0,432.0,3704.0
424,48,29,181811,4072.0,3186.0,52.0,1852.0
425,48,29,181813,6872.0,5119.0,647.0,3617.0
426,48,29,181814,4362.0,3622.0,185.0,2134.0
427,48,29,181815,3951.0,2929.0,185.0,1607.0
428,48,29,181816,4608.0,4029.0,222.0,2283.0
429,48,29,181817,3452.0,2944.0,262.0,2108.0
430,48,29,181818,5901.0,4997.0,590.0,2928.0
431,48,29,181819,6354.0,4086.0,324.0,3548.0
432,48,29,181820,6415.0,4039.0,843.0,2617.0
433,48,29,181821,3669.0,2700.0,300.0,1582.0
434,48,29,181822,5151.0,4374.0,300.0,2716.0
435,48,29,181823,2876.0,1941.0,254.0,1219.0
436,48,29,181824,5585.0,4250.0,396.0,2507.0
437,48,29,181825,3464.0,2663.0,147.0,1535.0
438,48,29,181826,6946.0,5562.0,336.0,2965.0
439,48,29,181901,4157.0,2901.0,356.0,1662.0
440,48,29,181902,6740.0,5882.0,147.0,1721.0
441,48,29,182001,5540.0,4214.0,232.0,1845.0
442,48,29,182002,9504.0,7734.0,384.0,3018.0
443,48,29,182003,4129.0,3045.0,194.0,1230.0
