rn,D12,R12,D16,R16
129,9844,6188,9024,5424
130,762,1762,1011,2724
131,368,2030,366,2278
132,7611,1401,8728,1844
133,5424,216,5792,80
134,337,506,333,412
135,340,692,268,698
136,1824,6716,1544,6636
137,476,425,405,457
138,1140,2388,1125,3215
140,59,12,35,14
141,1696,9156,1552,9472
142,1102,4210,986,4582
143,759,5,632,3
144,2604,2661,2428,3460
145,321,82,294,200
146,3248,126,3002,116
147,3153,33,2544,54
148,166,722,220,721
149,9284,656,8432,772
150,1212,832,1116,858
151,1536,1332,1431,1272
152,16884,3096,16350,2652
153,2220,8648,2364,8056
154,1650,2265,1467,1971
155,2756,1052,2604,1072
156,2712,888,2734,1082
157,2728,8520,3296,8688
158,352,1724,294,1962
159,8376,244,7816,280
160,685,78,595,89
161,1317,4458,1278,4242
162,1308,8464,1580,11450
163,1107,4443,1173,4497
164,1746,6069,1364,4506
165,1560,8535,1638,8388
166,1164,6380,1364,7904
167,2151,4461,1914,5199
168,3017,20909,2324,23296
169,2080,12904,1568,11464
170,969,5814,610,3118
171,648,2235,471,2571
172,2370,8725,2030,10045
173,914,4542,600,4332
174,2052,4572,2202,7134
175,254,1702,192,2096
176,626,2188,384,2584
177,1038,4032,762,4392
178,225,521,177,563
179,2684,11612,2176,11756
180,1236,3306,934,3370
181,490,3570,387,4188
182,332,3448,326,3978
183,274,1504,192,1690
184,3102,6918,2736,8628
185,316,1312,200,1600
186,798,568,760,648
187,2172,8874,2259,9084
188,1746,6882,1953,10674
189,1068,7128,768,7506
190,3738,8925,3017,9632
191,472,3768,408,3522
192,552,3444,580,4735
193,1057,6468,976,9080
194,11892,16836,14385,25395
195,408,2988,325,2435
196,1976,2452,1932,2684
197,597,1365,750,2172
198,2432,2000,2850,846
199,11277,8109,14770,11270
200,1266,2709,1230,2862
201,2684,4172,2224,4324
202,13944,5432,10656,6600
203,790,2292,300,2109
204,3464,6380,2872,6036
205,84,1060,123,3126
206,8638,18452,8330,21133
207,4068,9414,6640,16440
208,1065,972,1112,1060
209,10066,3185,12090,4010
210,1971,1620,2644,2160
211,1572,441,2112,536
212,656,2244,696,3738
213,715,8,721,13
214,3186,144,3242,176
215,1634,38,1502,38
216,2966,120,2714,64
217,7944,212,6996,220
218,1001,21,914,18
219,7914,123,7410,156
220,1036,48,992,40
221,3236,66,2924,84
222,7890,63,7269,72
223,3610,20,3324,32
224,869,158,848,135
225,2668,216,2574,190
226,916,10,867,12
227,3975,1800,4389,1458
228,2685,1380,2466,1552
229,246,251,239,216
230,934,2374,1082,2170
231,1959,5817,2379,5391
232,3822,105,3621,87
233,1392,2456,1434,2058
234,789,39,792,36
235,1758,10,1588,20
236,1426,2934,1676,2574
237,289,1116,344,996
238,2036,1680,2124,843
239,958,428,886,360
240,349,238,435,179
242,19105,145,16065,235
243,688,8,672,28
244,6951,2307,6843,2109
245,994,1748,1026,1542
246,4988,30,4666,44
247,5542,86,5554,132
249,17348,548,16612,488
250,3200,368,3104,286
251,16196,3208,15784,2412
252,5370,5361,5040,5178
253,1158,453,1238,350
254,568,287,553,245
255,1590,185,1511,165
256,2883,5676,3183,4728
257,483,741,497,626
258,4578,6492,4563,4779
259,3780,5283,3708,4389
260,1242,3172,1276,2566
261,1060,3082,1392,2588
262,3531,6810,3405,5862
263,2224,1974,2222,1582
264,3612,10635,4263,8970
265,1748,3396,1622,2784
266,3501,7776,4086,6804
267,1966,2730,2046,1994
268,322,105,285,112
269,4818,2829,4809,2439
270,3726,8985,4353,7785
271,3588,10353,4221,10338
272,1316,3662,1474,3120
273,539,279,675,400
274,2586,2571,2913,2529
275,620,1462,791,1307
276,1992,646,1867,751
277,990,1397,398,1083
278,7923,1236,7170,969
279,4188,1020,4083,897
280,4374,2250,4500,2079
281,9736,2132,9048,1680
282,662,6546,604,6904
283,140,1132,112,1236
284,962,5014,906,5164
285,1311,9150,1368,9762
286,606,4794,746,5298
287,3564,3228,3435,2601
288,742,938,782,792
289,3195,6522,3747,8565
290,1398,5568,1776,5184
291,1146,7212,1522,5780
292,3183,10557,3351,9744
293,670,3498,870,3770
294,1924,1940,2064,2050
295,3792,3807,3897,3843
296,6567,12729,6885,12510
297,1672,3816,1662,4388
298,501,741,505,593
299,1216,3260,1472,2816
300,3204,5511,3438,4695
302,1420,396,1362,398
303,1224,50,1290,60
305,86,120,93,186
306,688,1852,548,2200
307,24772,10747,28237,7463
308,4840,3092,5625,3460
309,18172,15587,18668,18902
310,278,882,213,653
311,5706,10110,8130,16760
312,3028,5032,2636,5228
313,1764,11046,1432,14128
314,2086,11193,1600,13680
315,1870,7065,1430,7725
316,8720,15790,7110,16250
317,7446,4074,7544,4872
318,21636,14988,17868,12504
319,375,2976,404,3912
320,1284,3568,1064,3456
321,621,3771,880,5985
322,7340,1885,8960,1792
323,3132,12102,3850,20610
324,362,1900,712,3944
325,650,5820,590,6355
326,3978,4686,3546,5502
327,518,7147,427,7686
328,2556,11934,1998,11979
329,5124,6678,4151,6832
330,695,7615,1064,13456
331,690,9185,798,11298
332,170,347,168,354
333,1590,3873,1374,4173
334,2830,12315,2947,18662
335,558,4083,516,6008
336,372,1518,346,1624
337,774,2180,600,1982
338,9135,37602,9850,42510
339,1810,12020,1635,10795
340,6340,1288,6855,1440
341,5272,2364,4844,2568
342,5184,2040,4644,2044
343,7092,10116,7770,10017
344,308,1792,272,1592
345,28501,27038,24475,27709
346,94,454,70,476
347,7265,6765,6785,7720
348,520,1296,428,1420
349,1017,2457,940,4770
350,5615,4280,4755,4445
351,81700,60496,81268,63602
352,1935,807,3519,2169
353,4704,3024,2574,1845
354,2922,5064,3520,7608
355,138,2745,75,2754
356,555,7075,525,8145
357,1176,2178,2244,3756
358,15795,17056,24904,24860
359,542,1954,682,2082
360,466,2130,638,2094
361,109,248,147,250
362,468,429,517,419
363,2163,7530,2448,6969
364,1002,3891,1239,3651
365,1392,6232,1928,6172
366,1569,4809,1713,4596
367,582,2964,602,2858
368,1188,1852,1268,1860
369,3603,174,3390,174
370,2968,7256,3344,6936
371,1102,2406,1324,2314
372,1812,2682,2180,2926
373,2457,5211,2754,4593
374,542,1424,662,1306
